FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
17, -0.872070, -0.015381, -0.481445, -0.305176, 0.366211, 0.259399, 0.000000
17, -0.869629, -0.016357, -0.485352, -0.244141, 0.579834, 0.289917, 0.000000
17, -0.868896, -0.018799, -0.492676, -0.381470, 0.503540, 0.122070, 0.000000
17, -0.866699, -0.019287, -0.488770, -0.625610, 0.488281, 0.015259, 0.000000
17, -0.872803, -0.018555, -0.485840, -0.610352, 0.701904, -0.061035, 0.000000
18, -0.867920, -0.018799, -0.495850, -0.595093, 0.869751, -0.061035, 0.000000
18, -0.869385, -0.024658, -0.489014, -0.320435, 1.159668, -0.198364, 0.000000
18, -0.872070, -0.021973, -0.483887, -0.244141, 1.342773, -0.137329, 0.000000
18, -0.872070, -0.022217, -0.492432, -0.320435, 1.266479, -0.213623, 0.000000
18, -0.874268, -0.027832, -0.492676, -0.564575, 1.358032, -0.350952, 0.000000
18, -0.868408, -0.027100, -0.492676, -0.671387, 1.464844, -0.228882, 0.000000
18, -0.870850, -0.028564, -0.501709, -0.808716, 1.388550, -0.167847, 0.000000
18, -0.868164, -0.030762, -0.506592, -0.717163, 1.296997, -0.152588, 0.000000
18, -0.868896, -0.030029, -0.504395, -0.808716, 1.098633, -0.198364, 0.000000
18, -0.863770, -0.032227, -0.502930, -0.808716, 1.190186, -0.061035, 0.000000
18, -0.867676, -0.037109, -0.502197, -0.808716, 1.327515, 0.061035, 0.000000
18, -0.872803, -0.032471, -0.506836, -0.488281, 1.190186, 0.015259, 0.000000
18, -0.870117, -0.032227, -0.506836, -0.289917, 1.251221, 0.076294, 0.000000
